iter	MultiClass
185	1.881181704
186	1.881065619
187	1.880872374
188	1.88053958
189	1.880305833
190	1.880228371
191	1.880015708
192	1.879926416
193	1.879744704
194	1.879562946
195	1.879496401
196	1.879359283
197	1.879264148
198	1.879194965
199	1.879088483
200	1.878901861
201	1.878815796
202	1.878779222
203	1.878727761
204	1.87862584
205	1.878454915
206	1.878298545
207	1.878188025
208	1.878136227
209	1.878082933
210	1.878025887
211	1.877914587
212	1.877853279
213	1.877734344
214	1.877635242
215	1.877548598
216	1.877500087
217	1.877433485
218	1.877332264
219	1.877266372
220	1.877173941
221	1.877068627
222	1.877020492
223	1.876938505
224	1.876850515
225	1.876757205
226	1.876605915
227	1.876549256
228	1.876496024
229	1.876424965
230	1.876337922
231	1.876260353
232	1.876155977
233	1.876098679
234	1.876025511
235	1.875937781
236	1.875885086
237	1.875833726
238	1.875780567
239	1.875693126
240	1.875617545
241	1.875534157
242	1.875481039
243	1.875370754
244	1.875308195
245	1.875268554
246	1.875164138
247	1.875081285
248	1.87498046
249	1.874928252
250	1.874878137
251	1.8748247
252	1.874743609
253	1.874648674
254	1.87459806
255	1.874520502
256	1.874464471
257	1.874330473
258	1.874264274
259	1.874219374
260	1.874181329
261	1.874088809
262	1.874027769
263	1.873965906
264	1.873832259
265	1.873741846
266	1.873698291
267	1.873651157
268	1.873573204
269	1.87347309
270	1.873412433
271	1.873307963
272	1.873156588
273	1.873068038
274	1.872967187
275	1.872925191
276	1.87285418
277	1.87279279
278	1.872693482
279	1.872639229
280	1.872569898
281	1.872520663
282	1.872423209
283	1.8723052
284	1.872193625
285	1.872149373
286	1.872122976
287	1.872027682
288	1.871919231
289	1.871872577
290	1.871714023
291	1.871668768
292	1.871610108
293	1.871453485
294	1.871420762
295	1.871362677
296	1.871283407
297	1.871138601
298	1.871086512
299	1.871032302
300	1.870979971
301	1.870919996
302	1.870741094
303	1.870611228
304	1.87051497
305	1.87046516
306	1.870431608
307	1.870390399
308	1.870336171
309	1.870219949
310	1.870144094
311	1.870092361
312	1.870032666
313	1.869934439
314	1.869871515
315	1.869775621
316	1.869729452
317	1.869638998
318	1.869600862
319	1.86954133
320	1.869436102
321	1.869406858
322	1.869359568
323	1.869245999
324	1.869168537
325	1.869080968
326	1.869036941
327	1.868985041
328	1.868870711
329	1.868784603
330	1.8687398
331	1.86870456
332	1.868668574
333	1.868624804
334	1.868580924
335	1.868551801
336	1.868427403
337	1.868366941
338	1.868311518
339	1.868256906
340	1.868210162
341	1.868170813
342	1.868114216
343	1.868017433
344	1.86796648
345	1.867930202
346	1.867886276
347	1.86782005
348	1.867782874
349	1.867727701
350	1.867674576
351	1.867637819
352	1.86757246
353	1.867545573
354	1.867365016
355	1.867331916
356	1.867287949
357	1.867213569
358	1.867179924
359	1.867142003
360	1.867087338
361	1.867052697
362	1.867037471
363	1.866980016
364	1.866959126
365	1.866933449
366	1.866875751
367	1.866832454
368	1.866796682
369	1.86676684
370	1.866705412
371	1.866647027
372	1.866622131
373	1.866573592
374	1.866517272
375	1.866424767
376	1.86639287
377	1.866323027
378	1.866271073
379	1.866239739
380	1.866175556
381	1.866099755
382	1.866056579
383	1.866025788
384	1.865972673
385	1.865929019
386	1.865903276
387	1.865823591
388	1.865785064
389	1.865710413
390	1.865652329
391	1.865540078
392	1.86546686
393	1.865416585
394	1.865339491
395	1.865315274
396	1.865215255
397	1.86516209
398	1.865125799
399	1.865079164
400	1.8650475
401	1.864985257
402	1.8649288
403	1.8648586
404	1.864823794
405	1.864788645
406	1.864698591
407	1.864604711
408	1.864575722
409	1.864513152
410	1.864423571
411	1.864380054
412	1.864310454
413	1.864282396
414	1.864239468
415	1.864207604
416	1.864160481
417	1.864099136
418	1.864068497
419	1.864009688
420	1.863938131
421	1.863867663
422	1.863841796
423	1.863811162
424	1.863767891
425	1.863700815
426	1.863648527
427	1.863560652
428	1.863495769
429	1.863468149
430	1.863413148
431	1.863313583
432	1.863256483
433	1.863240402
434	1.863180199
435	1.86311459
436	1.863080441
437	1.863058791
438	1.863023685
439	1.862978465
440	1.862943206
441	1.862885743
442	1.86286106
443	1.862812899
444	1.862761142
445	1.862721694
446	1.862642163
447	1.862628526
448	1.862552461
449	1.862495552
450	1.862434874
451	1.862414181
452	1.862395658
453	1.862323726
454	1.862256479
455	1.862217376
456	1.862193559
457	1.862137181
458	1.862091358
459	1.862064845
460	1.862025165
461	1.861995338
462	1.861942159
463	1.861913128
464	1.861827156
465	1.861791415
466	1.86171554
467	1.861690578
468	1.861664281
469	1.861643505
470	1.861622575
471	1.861595909
472	1.861572057
473	1.861501176
474	1.861464616
475	1.861433389
476	1.861415761
477	1.861347815
478	1.861319262
479	1.86129575
480	1.861263782
481	1.861241546
482	1.861216782
483	1.861182273
484	1.86113661
485	1.861077902
486	1.861036688
487	1.860984412
488	1.860928743
489	1.860886493
490	1.860876705
491	1.860843673
492	1.860809244
493	1.860764025
494	1.8607397
495	1.860700391
496	1.860645592
497	1.860625305
498	1.860574328
499	1.860537985
500	1.860525886
501	1.860424062
502	1.860343039
503	1.860294271
504	1.860263349
505	1.860237324
506	1.860197573
507	1.860124683
508	1.860082527
509	1.860029721
510	1.859983633
511	1.859934312
512	1.859899066
513	1.859883137
514	1.859846719
515	1.859813037
516	1.859757278
517	1.859714097
518	1.859640092
519	1.859601152
520	1.859569671
521	1.859508021
522	1.859456494
523	1.859404338
524	1.859379337
525	1.859372686
526	1.859336388
527	1.859315581
528	1.859276147
529	1.859245217
530	1.859109713
531	1.859079098
532	1.859042177
533	1.858962046
534	1.858925279
535	1.858910778
536	1.858895382
537	1.858855875
538	1.858804268
539	1.858782284
540	1.858700832
541	1.858649099
542	1.858635974
543	1.85862085
544	1.858580294
545	1.858519131
546	1.858503283
547	1.858474661
548	1.85840307
549	1.858363481
550	1.858297975
551	1.858265012
552	1.858235312
553	1.858199684
554	1.858185135
555	1.858161153
556	1.858105551
557	1.858079316
558	1.858051865
559	1.857908924
560	1.857884052
561	1.85782926
562	1.857755993
563	1.857733087
564	1.857714295
565	1.857642794
566	1.85762588
567	1.857595047
568	1.857575803
569	1.8575122
570	1.857461658
571	1.857427112
572	1.857408861
573	1.857332558
574	1.857308584
575	1.85728728
576	1.857265625
577	1.857215861
578	1.857185175
579	1.857164584
580	1.857126485
581	1.857103733
582	1.857090334
583	1.857068413
584	1.857029369
585	1.856969629
586	1.856903091
587	1.856840462
588	1.85673884
589	1.856707435
590	1.856681199
591	1.856630573
592	1.856575255
593	1.856539551
594	1.85644683
595	1.856431258
596	1.856403907
597	1.856280004
598	1.856232886
599	1.856216528
600	1.856198256
601	1.856152702
602	1.856127268
603	1.856074792
604	1.856050842
605	1.856003576
606	1.855860756
607	1.855807857
608	1.855777066
609	1.855742476
610	1.855703669
611	1.855668125
612	1.85565777
613	1.855597041
614	1.855568879
615	1.855537518
616	1.85551528
617	1.85542302
618	1.855396184
619	1.855379192
620	1.855364916
621	1.855328575
622	1.855293365
623	1.855274129
624	1.855244581
625	1.855228009
626	1.855177911
627	1.855133806
628	1.855127971
629	1.855103176
630	1.855049246
631	1.855018105
632	1.854948626
633	1.854927591
634	1.854879813
635	1.854852369
636	1.854738525
637	1.854688593
638	1.854661061
639	1.854602213
640	1.854555949
641	1.854512051
642	1.854485207
643	1.854455518
644	1.854431324
645	1.854410159
646	1.854387967
647	1.8543343
648	1.854298634
649	1.854255945
650	1.854230601
651	1.854190989
652	1.854169516
653	1.854145403
654	1.854124169
655	1.854091219
656	1.854081309
657	1.854052528
658	1.854017453
659	1.854002225
660	1.853975163
661	1.85388776
662	1.853866189
663	1.853810048
664	1.853796298
665	1.853781747
666	1.853743489
667	1.853694189
668	1.853583011
669	1.853549996
670	1.85352396
671	1.853487831
672	1.853419282
673	1.8534061
674	1.853382397
675	1.853328272
676	1.853278235
677	1.853243637
678	1.853221646
679	1.853188683
680	1.853135614
681	1.853108408
682	1.853070854
683	1.853044758
684	1.852972494
685	1.852959201
686	1.852948403
687	1.852910645
688	1.85286297
689	1.852817423
690	1.852802158
691	1.85277373
692	1.852727491
693	1.852670341
694	1.852628577
695	1.852597542
696	1.852527037
697	1.852499666
698	1.85247827
699	1.852373416
700	1.852364921
701	1.852331538
702	1.852314326
703	1.85226293
704	1.852189736
705	1.852157862
706	1.852100786
707	1.852067961
708	1.852047595
709	1.852035506
710	1.85199303
711	1.851946716
712	1.85191114
713	1.851891677
714	1.851870068
715	1.851845076
716	1.851770328
717	1.851716704
718	1.851652821
719	1.85162454
720	1.851599715
721	1.851584638
722	1.851553332
723	1.851535479
724	1.851518014
725	1.851508144
726	1.851486202
727	1.851432675
728	1.851412372
729	1.851377419
730	1.851359991
731	1.851341474
732	1.851327038
733	1.851305044
734	1.851281515
735	1.851251682
736	1.851219216
737	1.851197072
738	1.851164647
739	1.851131914
740	1.851083087
741	1.85105131
742	1.851025983
743	1.851003621
744	1.850955851
745	1.85091106
746	1.850862791
747	1.850829041
748	1.850797261
749	1.850779218
750	1.850729951
751	1.850681606
752	1.850644061
753	1.850621073
754	1.850599862
755	1.850558858
756	1.850483544
757	1.85044117
758	1.850375733
759	1.850358142
760	1.850332088
761	1.850307271
762	1.850276115
763	1.850262539
764	1.850223765
765	1.850193137
766	1.85017701
767	1.850158638
768	1.850118836
769	1.850091347
770	1.850059442
771	1.850035649
772	1.849991986
773	1.849965522
774	1.849934077
775	1.849913991
776	1.849889243
777	1.84985742
778	1.849845039
779	1.849794276
780	1.849770614
781	1.849761519
782	1.849744698
783	1.849692574
784	1.849674594
785	1.849653226
786	1.849608335
787	1.849570264
788	1.849548188
789	1.849488511
790	1.849468699
791	1.849457041
792	1.849435245
793	1.849393473
794	1.849346291
795	1.849310949
796	1.849289373
797	1.849270499
798	1.849237164
799	1.849173164
800	1.849095496
801	1.849067031
802	1.849011421
803	1.848993629
804	1.848891208
805	1.848870521
806	1.848847903
807	1.848819345
808	1.848782198
809	1.84875791
810	1.848737143
811	1.848679449
812	1.84865177
813	1.84861892
814	1.848572612
815	1.848547581
816	1.848486964
817	1.848449864
818	1.848415497
819	1.84839233
820	1.848373304
821	1.848361123
822	1.848345267
823	1.848317432
824	1.848285541
825	1.848251377
826	1.848228154
827	1.848200362
828	1.848176199
829	1.848129058
830	1.848100381
831	1.848073262
832	1.848059328
833	1.848043224
834	1.847994567
835	1.847981229
836	1.847966164
837	1.847927747
838	1.847906175
839	1.847880982
840	1.847866779
841	1.847845046
842	1.847820193
843	1.847796031
844	1.84778235
845	1.847742844
846	1.84770896
847	1.847662723
848	1.847633951
849	1.847598582
850	1.847589078
851	1.847534642
852	1.847517791
853	1.847496378
854	1.847455394
855	1.84743763
856	1.847376631
857	1.847359502
858	1.847316389
859	1.847243962
860	1.847229141
861	1.847205281
862	1.847167819
863	1.847091012
864	1.847049761
865	1.847027832
866	1.846982412
867	1.846918902
868	1.846867338
869	1.846849816
870	1.84681581
871	1.846793977
872	1.84677491
873	1.846729351
874	1.846712656
875	1.846704821
876	1.84663161
877	1.846616982
878	1.846594591
879	1.846576854
880	1.846549908
881	1.846524414
882	1.846489427
883	1.846471289
884	1.846433906
885	1.846400816
886	1.846386417
887	1.846373581
888	1.846333613
889	1.846307825
890	1.846275918
891	1.846258351
892	1.846233252
893	1.846220159
894	1.846198654
895	1.846170746
896	1.846158286
897	1.846134932
898	1.846120172
899	1.84607928
900	1.846055367
901	1.846040193
902	1.84600178
903	1.845970542
904	1.845949298
905	1.845937751
906	1.84592626
907	1.845909816
908	1.845879369
909	1.845860053
910	1.845840258
911	1.845815893
912	1.845805711
913	1.845776739
914	1.845729105
915	1.84565279
916	1.845615372
917	1.845600356
918	1.845583137
919	1.845512955
920	1.845504933
921	1.845485968
922	1.845472248
923	1.845414595
924	1.845380476
925	1.845358693
926	1.845338556
927	1.845311799
928	1.845277384
929	1.845266855
930	1.845226903
931	1.845201264
932	1.845107268
933	1.845085497
934	1.845059332
935	1.845042706
936	1.845027939
937	1.84500272
938	1.844980772
939	1.844968922
940	1.844945926
941	1.844920931
942	1.844901946
943	1.84486344
944	1.844841334
945	1.844819871
946	1.844807454
947	1.844787021
948	1.844776799
949	1.844725316
950	1.844701832
951	1.844659289
952	1.844648327
953	1.844608246
954	1.844566509
955	1.844531595
956	1.844479287
957	1.84445837
958	1.844448893
959	1.84441622
960	1.844403576
961	1.844390097
962	1.844342646
963	1.844320842
964	1.844298262
965	1.844261784
966	1.844235205
967	1.844220639
968	1.844198265
969	1.84418324
970	1.84416182
971	1.844139924
972	1.844113447
973	1.844094527
974	1.844081608
975	1.844050896
976	1.844011326
977	1.843983313
978	1.84395681
979	1.843936973
980	1.843919775
981	1.843911327
982	1.843881814
983	1.843870168
984	1.843828309
985	1.843807298
986	1.84376518
987	1.843757138
988	1.843738873
989	1.843730363
990	1.843719797
991	1.843688569
992	1.84367606
993	1.843644136
994	1.843619209
995	1.843611655
996	1.843595559
997	1.843575618
998	1.843548412
999	1.843494262
